SRC,DST,W
0,628,0.0
1,158,0.03232323232323233
1,486,0.024864024864024867
1,1097,0.051036682615629984
1,2919,0.026262626262626262
1,2933,0.03232323232323233
2,3285,0.0
3,1431,0.0
3,3219,0.0
4,467,0.0
5,648,0.0
6,1501,0.0
7,1833,0.0
7,2137,0.0
8,178,0.020202020202020204
8,1033,0.012345679012345678
9,1007,0.0
10,1670,0.0
10,2622,0.0
11,2034,0.0
12,113,0.0
12,557,0.0
12,677,0.0
12,794,0.011655011655011656
12,839,0.02525252525252525
12,966,0.0
12,1097,0.0
12,1357,0.024531024531024532
12,1622,0.0
12,1760,0.0
12,2474,0.0
12,2487,0.011363636363636364
13,1167,0.047619047619047616
13,1493,0.027777777777777776
13,1871,0.0
13,1894,0.04132231404958678
13,2711,0.027777777777777776
14,146,0.020202020202020204
14,1248,0.0505050505050505
15,2521,0.0
16,314,0.10047846889952153
16,616,0.11717171717171718
16,622,0.11717171717171718
16,1013,0.08556149732620323
16,1422,0.03141506811231582
16,1567,0.07828282828282829
16,1605,0.11386593204775025
16,1708,0.09764309764309764
16,2166,0.06565656565656566
16,2415,0.03896103896103896
16,2416,0.08293460925039872
16,2417,0.011363636363636364
16,2418,0.08556149732620323
16,2597,0.11717171717171718
17,879,0.0
17,2150,0.0
18,582,0.0
18,778,0.0
18,812,0.0
19,1338,0.0
19,1451,0.016835016835016838
19,3308,0.015151515151515154
20,3080,0.0
21,1073,0.0
22,726,0.0
22,2140,0.0
22,3251,0.0
23,1942,0.0
24,1227,0.0
24,2027,0.0
25,2057,0.0
25,2331,0.0
26,222,0.013468013468013471
26,2729,0.013468013468013471
27,229,0.03787878787878788
27,755,0.0
27,1012,0.023391812865497075
27,1290,0.02424242424242424
27,1422,0.020773775490756617
27,1943,0.0
27,2021,0.02424242424242424
27,2023,0.11784511784511785
27,2282,0.03896103896103896
27,2782,0.03333333333333333
28,28,0.2644628099173554
28,135,0.011655011655011656
28,1447,0.011363636363636364
28,1578,0.011937557392102848
28,1678,0.02525252525252525
28,1912,0.011784511784511785
28,2059,0.011655011655011656
28,2312,0.011544011544011544
28,2313,0.011784511784511785
28,2314,0.011363636363636364
28,2315,0.011784511784511785
28,2316,0.023232323232323236
29,1422,0.0
29,2838,0.0
30,532,0.0
30,1422,0.0
31,136,0.011655011655011656
31,1131,0.0
31,1625,0.01075268817204301
31,1759,0.026262626262626262
32,118,0.0
32,3009,0.0
33,824,0.0
33,1822,0.011223344556677891
33,3193,0.011111111111111113
33,3197,0.01414141414141414
33,3326,0.0
34,75,0.0
35,89,0.0
36,763,0.0
37,1745,0.0
38,2228,0.012121212121212123
38,2388,0.0
39,1412,0.0
39,2466,0.0
40,631,0.0
40,2625,0.0
41,606,0.0
41,1059,0.0
41,3309,0.0
42,2655,0.0
43,136,0.011164274322169059
43,887,0.0
43,1096,0.0
43,1238,0.0
43,1429,0.022626262626262626
43,1625,0.033766233766233764
43,1731,0.0
43,1759,0.054834054834054825
43,2632,0.0112893642305407
43,2633,0.011164274322169059
44,1227,0.013468013468013471
44,1845,0.016835016835016838
45,939,0.0
46,3237,0.0
47,820,0.0
47,1098,0.0
47,1388,0.0
47,3130,0.0
47,3131,0.0
48,2185,0.0
49,1253,0.02693602693602693
49,1510,0.013468013468013471
49,2228,0.011544011544011544
49,2341,0.0
49,2455,0.012626262626262626
49,2994,0.0
50,2528,0.0
50,2529,0.0
51,453,0.035573122529644265
51,493,0.012121212121212123
51,1034,0.051036682615629984
51,1214,0.033411033411033415
51,1422,0.042384630619924736
51,1607,0.02693602693602693
51,2525,0.012626262626262626
51,2828,0.0112893642305407
52,274,0.0
52,1617,0.0
53,61,0.0
54,728,0.0
54,1903,0.0
54,2378,0.0
55,186,0.0
55,2119,0.0
55,2324,0.0
56,1027,0.0
56,2609,0.0
57,487,0.0
57,2570,0.0
58,284,0.03232323232323233
58,740,0.03232323232323233
58,742,0.013468013468013471
58,1416,0.013468013468013471
58,2009,0.03232323232323233
59,931,0.0
59,962,0.011363636363636364
59,968,0.02215705441511893
59,1214,0.03349282296650718
59,1290,0.011655011655011656
59,1422,0.0314913844325609
59,2826,0.028860028860028857
60,793,0.016835016835016838
60,916,0.016835016835016838
60,2992,0.0
61,53,0.0
61,1443,0.0
61,1514,0.0
61,1734,0.0
61,2063,0.011655011655011656
61,2113,0.012345679012345678
62,1620,0.0
63,1053,0.0
64,1431,0.0
65,1944,0.0
66,1062,0.0
66,2342,0.0
66,3144,0.0
67,1960,0.0
68,2411,0.0
69,157,0.01414141414141414
69,1178,0.016835016835016838
69,2370,0.0
70,808,0.0
70,1474,0.0
70,2245,0.0
70,2335,0.0
70,2557,0.0
70,2899,0.011019283746556474
70,3009,0.0
71,328,0.020202020202020204
71,660,0.016835016835016838
72,1896,0.0
73,497,0.01414141414141414
73,832,0.016835016835016838
73,1779,0.03535353535353535
74,2365,0.0
75,34,0.0
75,1300,0.0
75,1697,0.0
75,1879,0.0
76,1132,0.0
76,1861,0.013468013468013471
