SRC,DST,W
0,633,0.0006020408163265307
0,1862,0.008333333333333333
0,2582,0.008928571428571428
1,2,0.0006020408163265307
1,652,0.0006020408163265307
1,654,0.0006020408163265307
2,1,0.0006020408163265307
2,332,0.0006020408163265307
2,1454,0.0006020408163265307
2,1666,0.0006020408163265307
2,1986,0.0006020408163265307
3,2544,0.0006020408163265307
4,1016,0.01700680272108843
4,1256,0.038690476190476185
4,1761,0.015873015873015872
4,2175,0.029761904761904764
4,2176,0.025793650793650792
5,1629,0.008928571428571428
5,1659,0.00992063492063492
5,2546,0.0006020408163265307
6,373,0.008333333333333333
6,1042,0.006428571428571429
6,1416,0.0065476190476190495
6,1602,0.006944444444444444
7,208,0.0006020408163265307
8,269,0.0006020408163265307
8,281,0.0006020408163265307
8,1996,0.0006020408163265307
9,723,0.011904761904761904
9,2614,0.008333333333333333
10,476,0.0006020408163265307
10,2545,0.0006020408163265307
11,1655,0.006944444444444444
11,1839,0.007936507936507936
12,1001,0.008928571428571428
12,1318,0.02083333333333333
12,2661,0.008928571428571428
12,2662,0.02083333333333333
13,1701,0.0006020408163265307
13,1810,0.0006020408163265307
14,158,0.007653061224489796
14,2034,0.006229235880398671
14,2075,0.015476190476190475
14,2077,0.007275132275132275
14,2668,0.007440476190476191
15,1090,0.02806122448979592
15,1093,0.029761904761904764
15,1271,0.03214285714285714
15,2367,0.022959183673469385
16,970,0.0006020408163265307
16,1632,0.0006020408163265307
16,2444,0.0006020408163265307
16,2642,0.0006020408163265307
17,24,0.0006020408163265307
17,927,0.01904761904761905
17,1315,0.0006020408163265307
17,1316,0.007653061224489796
17,2140,0.007440476190476191
18,139,0.0006020408163265307
18,1560,0.0006020408163265307
18,1786,0.0006020408163265307
18,2082,0.0006020408163265307
18,2145,0.0006020408163265307
19,1939,0.0006020408163265307
20,1072,0.0006020408163265307
20,2269,0.0071428571428571435
20,2270,0.01636904761904762
20,2374,0.0006020408163265307
20,2375,0.007653061224489796
21,1043,0.0006020408163265307
21,2310,0.0006020408163265307
22,39,0.0006020408163265307
22,1234,0.017857142857142856
22,1702,0.02435064935064935
22,1703,0.021825396825396824
22,2238,0.014652014652014654
23,2159,0.0006020408163265307
24,17,0.0006020408163265307
24,201,0.015151515151515154
24,598,0.012870012870012871
24,1636,0.040816326530612235
24,1701,0.012362637362637362
24,2139,0.01636904761904762
24,2141,0.01636904761904762
25,1301,0.0006020408163265307
25,1344,0.0006020408163265307
25,2011,0.0006020408163265307
25,2317,0.0006020408163265307
26,99,0.04365079365079365
26,122,0.03214285714285714
26,123,0.017857142857142856
26,2454,0.01904761904761905
26,2455,0.03214285714285714
27,606,0.007440476190476191
27,1810,0.0006020408163265307
27,2360,0.01904761904761905
27,2578,0.008928571428571428
28,1687,0.0006020408163265307
29,963,0.0006020408163265307
29,2645,0.0006020408163265307
30,697,0.0006020408163265307
30,738,0.007275132275132275
30,1358,0.0006020408163265307
30,1416,0.0006020408163265307
30,2162,0.007275132275132275
30,2343,0.0006020408163265307
31,1594,0.0006020408163265307
32,279,0.0006020408163265307
32,518,0.0006020408163265307
32,1850,0.0006020408163265307
32,1973,0.0006020408163265307
33,286,0.0071428571428571435
33,588,0.007034632034632035
33,698,0.015151515151515154
33,911,0.006944444444444444
33,1051,0.006868131868131869
33,2040,0.007034632034632035
33,2119,0.0006020408163265307
33,2120,0.006944444444444444
33,2121,0.0006020408163265307
34,1358,0.0006020408163265307
35,895,0.01904761904761905
35,1296,0.01636904761904762
35,1913,0.02083333333333333
36,1146,0.0071428571428571435
36,1505,0.02205882352941177
36,1552,0.007034632034632035
36,1640,0.0006020408163265307
36,1781,0.007034632034632035
36,2094,0.006944444444444444
36,2106,0.007440476190476191
36,2107,0.015873015873015872
37,60,0.0006020408163265307
37,1190,0.0006020408163265307
37,2427,0.0006020408163265307
38,429,0.006613756613756613
38,862,0.0006020408163265307
38,863,0.017857142857142856
38,1160,0.007440476190476191
39,22,0.0006020408163265307
39,1349,0.007275132275132275
39,1522,0.0006020408163265307
39,1532,0.0006020408163265307
39,1634,0.007034632034632035
39,1965,0.0006020408163265307
39,2357,0.0006020408163265307
40,507,0.0006020408163265307
40,866,0.0006020408163265307
40,1364,0.0006020408163265307
41,175,0.01636904761904762
41,596,0.029761904761904764
41,644,0.007440476190476191
41,1914,0.013020833333333334
42,87,0.0006020408163265307
42,1372,0.0006020408163265307
43,152,0.0006020408163265307
43,963,0.013528138528138528
43,1530,0.0006020408163265307
43,1653,0.0006020408163265307
43,2399,0.007275132275132275
43,2400,0.007936507936507936
44,1582,0.0006020408163265307
44,2624,0.00992063492063492
44,2701,0.00992063492063492
45,733,0.006313131313131314
45,1219,0.0006020408163265307
45,1986,0.0006020408163265307
45,2303,0.007653061224489796
45,2667,0.0071428571428571435
45,2668,0.007275132275132275
46,1604,0.0006020408163265307
46,2366,0.0006020408163265307
47,163,0.0006020408163265307
47,1579,0.0006020408163265307
48,598,0.0006020408163265307
48,714,0.0006020408163265307
48,1031,0.0006020408163265307
48,1662,0.007034632034632035
48,1666,0.006868131868131869
48,2041,0.0006020408163265307
48,2205,0.0006020408163265307
48,2206,0.0006020408163265307
48,2471,0.0006020408163265307
49,1666,0.0006020408163265307
49,2034,0.0006020408163265307
50,1441,0.0006020408163265307
51,457,0.007440476190476191
51,710,0.01700680272108843
51,1392,0.007653061224489796
51,2213,0.007653061224489796
51,2214,0.0006020408163265307
51,2215,0.007440476190476191
52,1139,0.007653061224489796
52,1467,0.008333333333333333
52,2053,0.0006020408163265307
52,2172,0.01700680272108843
52,2182,0.013605442176870746
53,1103,0.006613756613756613
53,1358,0.012117346938775508
53,1739,0.0071428571428571435
54,401,0.0006020408163265307
54,767,0.0006020408163265307
55,60,0.0006020408163265307
55,210,0.0065476190476190495
55,323,0.006746031746031746
55,651,0.0006020408163265307
55,771,0.006802721088435373
55,787,0.0006020408163265307
55,815,0.0006020408163265307
55,1079,0.006802721088435373
55,1156,0.006802721088435373
55,1983,0.0006020408163265307
55,2020,0.006944444444444444
55,2021,0.0006020408163265307
56,412,0.02083333333333333
56,447,0.01904761904761905
56,1616,0.025793650793650792
56,1849,0.02806122448979592
57,2418,0.0006020408163265307
58,1715,0.0006020408163265307
59,105,0.006944444444444444
59,580,0.006696428571428571
59,609,0.006696428571428571
59,615,0.0006020408163265307
59,1067,0.0006020408163265307
59,1287,0.006944444444444444
59,1358,0.024497660335810623
59,1627,0.0006020408163265307
59,1725,0.006448412698412698
59,2651,0.007034632034632035
60,37,0.0006020408163265307
60,55,0.0006020408163265307
60,1527,0.0006020408163265307
61,1080,0.0071428571428571435
61,1309,0.0006020408163265307
61,1416,0.0006020408163265307
61,2162,0.007440476190476191
61,2312,0.0006020408163265307
62,485,0.0006020408163265307
63,1322,0.0006020408163265307
64,1209,0.008928571428571428
64,1737,0.017857142857142856
64,2616,0.00992063492063492
65,239,0.02161654135338346
65,543,0.0006020408163265307
65,619,0.0071428571428571435
65,771,0.006944444444444444
65,1156,0.006944444444444444
65,1293,0.007034632034632035
65,1628,0.006428571428571429
65,2021,0.02435064935064935
65,2418,0.023809523809523808
65,2419,0.0006020408163265307
66,2631,0.0006020408163265307
67,282,0.0006020408163265307
67,540,0.0006020408163265307
67,2628,0.0006020408163265307
68,391,0.008333333333333333
68,1358,0.0006020408163265307
68,1986,0.006132756132756133
69,604,0.015873015873015872
