Src,Dst,W
0,544,0.021301775147929
0,435,0.03550295857988165
0,8,0.03550295857988165
3,601,0.0
3,463,0.0
3,197,0.0
4,170,0.0
8,435,0.059171597633136085
12,155,0.01183431952662722
13,482,0.010355029585798816
14,443,0.0
14,613,0.01389246205299717
14,544,0.03155818540433925
14,746,0.0
14,31,0.0
14,400,0.014088475626937163
14,708,0.0
14,384,0.0
14,751,0.0410913872452334
14,435,0.0410913872452334
14,8,0.0410913872452334
14,437,0.0
14,0,0.0410913872452334
14,393,0.0
14,268,0.030123722431414743
14,736,0.0
14,242,0.0
14,258,0.057627990738358635
14,232,0.014325755216443475
15,253,0.0
15,80,0.0
15,254,0.0
15,322,0.0
15,152,0.0
15,538,0.006851448146994705
15,129,0.006724045185583648
15,234,0.0
15,701,0.0
15,399,0.0
18,866,0.008875739644970414
18,890,0.008875739644970414
18,127,0.01656804733727811
18,1932,0.007889546351084813
19,571,0.0
20,267,0.018596787827557058
22,2257,0.0
22,1790,0.0
25,1181,0.0
25,1897,0.0
25,778,0.0
25,20,0.0
25,456,0.0
26,1129,0.0
27,532,0.0
28,586,0.0
30,2276,0.0
30,1148,0.008136094674556213
30,285,0.021301775147929
30,679,0.0
30,231,0.009467455621301777
32,679,0.0
33,1701,0.008453085376162298
35,34,0.0
36,1066,0.0
36,2390,0.0
36,1974,0.0
36,1701,0.007396449704142011
36,2072,0.0
37,563,0.0
38,372,0.010355029585798816
38,273,0.010355029585798816
38,563,0.008136094674556213
39,24,0.0
39,82,0.0
40,761,0.0
41,94,0.0
41,2456,0.0
41,725,0.0
41,1713,0.03725619110234495
41,23,0.0
41,1733,0.0
41,1982,0.024091293322062557
41,533,0.0
41,889,0.02366863905325444
41,892,0.033136094674556214
41,352,0.0
41,115,0.014618865297598328
42,188,0.014325755216443475
43,576,0.0
45,220,0.009467455621301777
46,867,0.0
46,238,0.018596787827557058
48,1783,0.0
48,2682,0.0
48,2456,0.0
52,2580,0.0
